ID,CreditScore,DebtRatio,Assets,Age,NumberOfDependents,NumberOfOpenCreditLinesAndLoans,MonthlyIncome,NumberOfTimesPastDue,EmploymentLength,HomeOwnership,Education,MaritalStatus,YearsAtCurrentAddress,NoPaidPerc,RiesgoPagAtrazo
26,710,0.295540978309909,86752,51,8,16,7166,16,18,Mortgage,Masters,Widowed,17,0.1505349,Riesgo muy alto
27,751,0.8436058041371607,176776,81,2,0,12521,12,7,Rent,Masters,Married,0,0.19010271,Riesgo alto
28,482,0.3251820464963028,69941,79,4,3,5286,3,22,Rent,PhD,Married,14,0.28036708,Riesgo bajo
29,438,0.4051900469867113,70143,41,4,11,19230,6,10,Mortgage,PhD,Single,21,0.27784255,Riesgo medio
30,653,0.1322161887080187,66728,27,0,19,1531,12,18,Mortgage,High School,Single,21,0.23387972,Riesgo alto
31,566,0.1990518736229523,178238,37,9,9,10883,4,10,Own,Bachelor,Widowed,29,0.17812252,Riesgo bajo
32,401,0.3834250646289798,36338,72,9,4,8268,4,13,Rent,High School,Divorced,17,0.17252025,Riesgo bajo
33,434,0.1882449420456784,135736,21,2,2,9756,18,1,Mortgage,Bachelor,Single,14,0.23427251,Riesgo muy alto
34,379,0.7467461510813732,191177,30,9,15,9482,0,16,Rent,PhD,Divorced,29,0.2719082,Sin riesgo
35,410,0.6919472392096694,137650,67,1,17,1994,18,22,Rent,High School,Widowed,9,0.23201247,Riesgo muy alto
36,693,0.6807192600167042,77252,48,2,11,5178,12,8,Rent,Bachelor,Divorced,5,0.27697772,Riesgo alto
37,556,0.6431460777780448,70900,45,4,11,17985,13,29,Own,High School,Widowed,7,0.22886781,Riesgo alto
38,559,0.7233995844145912,73381,31,7,14,11912,19,28,Mortgage,Bachelor,Married,16,0.28837973,Riesgo muy alto
39,563,0.2876409314253545,199627,38,4,8,11959,16,28,Mortgage,Masters,Divorced,8,0.17454156,Riesgo muy alto
40,723,0.664195703063182,158617,63,6,6,10735,7,4,Own,PhD,Single,16,0.2522991,Riesgo medio
41,816,0.953130150887165,125344,27,7,19,14336,1,27,Own,Bachelor,Single,8,0.27821764,Riesgo bajo
42,848,0.2483777846419732,102286,29,4,8,4688,16,1,Own,High School,Widowed,26,0.0,Riesgo muy alto
43,712,0.8502139755995428,184593,42,0,19,19366,10,19,Own,Bachelor,Married,27,0.33101743,Riesgo medio
44,486,0.466930758507333,68152,67,5,2,13102,13,22,Mortgage,PhD,Married,24,0.29307488,Riesgo alto
45,572,0.6771062884662875,171785,40,2,1,6852,4,25,Mortgage,Masters,Widowed,22,0.20386024,Riesgo bajo
46,576,0.8516264358955272,54480,78,0,0,2128,17,3,Mortgage,PhD,Widowed,2,0.22724588,Riesgo muy alto
47,669,0.3159364898247295,21294,24,2,1,7268,9,8,Own,Masters,Married,3,0.2417779,Riesgo medio
48,828,0.3431732780464748,72326,66,9,7,4809,13,27,Mortgage,High School,Divorced,9,0.16704217,Riesgo alto
49,537,0.599155583773474,61921,62,0,8,7718,11,24,Rent,Masters,Divorced,21,0.25070935,Riesgo alto
50,620,0.8756249045826079,50048,39,8,18,2310,2,8,Rent,High School,Single,5,0.29913753,Riesgo bajo
51,433,0.6888419576261036,117902,43,8,0,17240,15,13,Mortgage,Masters,Divorced,3,0.15873079,Riesgo muy alto
52,624,0.0079853559775933,152049,34,5,7,12710,9,2,Rent,High School,Widowed,14,0.0,Riesgo medio
53,435,0.6328317139875091,125208,65,6,10,12065,8,9,Own,PhD,Married,1,0.2957968,Riesgo medio
54,378,0.9430324994777638,150443,43,1,9,3792,11,26,Mortgage,High School,Widowed,21,0.2746659,Riesgo alto
55,508,0.5684431723612908,190015,35,9,12,19041,14,12,Own,Bachelor,Single,20,0.253007,Riesgo alto
56,548,0.5053624618938327,188675,74,0,1,17613,6,28,Mortgage,High School,Single,17,0.3046622,Riesgo medio
57,711,0.1831859273069311,69624,72,6,1,18281,16,26,Mortgage,PhD,Divorced,21,0.24733055,Riesgo muy alto
58,606,0.2955215981191724,62092,36,9,2,9216,8,15,Own,Bachelor,Married,23,0.30805036,Riesgo medio
59,809,0.4884441401197026,182241,78,3,13,12845,6,9,Rent,High School,Single,28,0.23315966,Riesgo medio
60,465,0.7798280998908452,137208,40,1,1,12653,8,3,Mortgage,High School,Divorced,25,0.22236481,Riesgo medio
61,647,0.7209550516737023,24313,86,8,10,5513,17,6,Rent,Bachelor,Divorced,6,0.27458334,Riesgo muy alto
62,526,0.6013851424559409,20584,64,2,18,14853,8,20,Mortgage,Masters,Divorced,15,0.25688088,Riesgo medio
63,679,0.6538147268516495,187157,85,9,7,13986,6,19,Mortgage,PhD,Divorced,10,0.19560991,Riesgo medio
64,617,0.8082193626974385,79635,43,3,1,12088,0,24,Rent,Masters,Married,3,0.21388134,Sin riesgo
65,349,0.9801382147500612,107833,23,3,9,5394,17,11,Rent,PhD,Divorced,3,0.27222857,Riesgo muy alto
66,498,0.0042433181208778,43174,80,9,16,6796,12,2,Rent,PhD,Divorced,27,0.2220848,Riesgo alto
67,650,0.3623388195764376,55383,38,8,15,6536,6,27,Mortgage,PhD,Divorced,20,0.21817751,Riesgo medio
68,710,0.0495099287790371,149850,59,1,2,15006,8,5,Own,High School,Single,5,0.18626224,Riesgo medio
69,715,0.94874268392766,129259,68,1,2,3102,18,3,Own,Bachelor,Divorced,7,0.30409122,Riesgo muy alto
70,685,0.0912461864297545,110153,65,7,7,10950,4,28,Rent,Masters,Divorced,1,0.15073611,Riesgo bajo
71,502,0.1230414873907888,156750,49,6,5,13097,3,7,Own,High School,Divorced,16,0.16858912,Riesgo bajo
72,848,0.623372457218943,153189,87,8,18,1441,19,4,Mortgage,High School,Married,11,0.25708595,Riesgo muy alto
73,519,0.2746232160258672,166038,26,9,19,7339,12,14,Mortgage,Bachelor,Divorced,7,0.19976388,Riesgo alto
74,304,0.5528934241910111,25253,76,5,5,18156,18,23,Rent,Masters,Single,11,0.26389304,Riesgo muy alto
75,307,0.1300695393620544,30036,20,9,12,7334,17,16,Mortgage,PhD,Married,2,0.23105966,Riesgo muy alto
76,832,0.8346771765874758,106582,82,6,9,5436,17,11,Own,Masters,Married,15,0.30862245,Riesgo muy alto
77,795,0.9470783597902098,118965,35,1,14,10348,16,20,Rent,PhD,Divorced,19,0.26060137,Riesgo muy alto
78,513,0.0160844426322444,48612,29,4,0,14277,8,4,Rent,PhD,Widowed,27,0.17489386,Riesgo medio
79,430,0.1644534233745708,83172,68,3,16,19248,17,14,Mortgage,Bachelor,Divorced,28,0.22568347,Riesgo muy alto
80,545,0.6625196944321444,27313,34,1,18,18516,16,17,Rent,High School,Married,4,0.26418963,Riesgo muy alto
81,846,0.5537499987380119,197713,49,1,4,11914,6,19,Mortgage,High School,Divorced,11,0.21155699,Riesgo medio
82,326,0.5802510788982804,37512,67,6,11,14572,5,17,Own,PhD,Divorced,28,0.30769715,Riesgo medio
83,603,0.549044192183183,159257,79,6,6,14045,3,14,Mortgage,PhD,Widowed,11,0.18630221,Riesgo bajo
84,460,0.0303563361865748,60207,41,4,4,10571,6,7,Mortgage,Masters,Widowed,16,0.0,Riesgo medio
85,845,0.8530121969599361,88958,82,9,1,5676,6,24,Rent,Bachelor,Widowed,13,0.21062446,Riesgo medio
86,501,0.7266214005110793,80241,84,7,19,2963,6,10,Rent,Masters,Divorced,26,0.24553317,Riesgo medio
87,826,0.8669612830164705,179604,25,7,10,16203,8,23,Rent,PhD,Divorced,25,0.25883368,Riesgo medio
88,580,0.7971624806564798,149295,62,9,11,7614,8,11,Rent,High School,Single,5,0.25099757,Riesgo medio
89,492,0.3297770273331276,126235,66,9,16,10261,17,5,Mortgage,PhD,Divorced,22,0.21020393,Riesgo muy alto
90,402,0.1396002215544096,38703,27,5,0,8589,5,18,Own,PhD,Single,1,0.23788095,Riesgo medio
91,682,0.9053537320733052,123540,71,5,2,12248,14,9,Mortgage,PhD,Divorced,20,0.23414288,Riesgo alto
92,430,0.9173449381760782,38293,47,0,1,15943,14,19,Rent,Masters,Widowed,17,0.19379768,Riesgo alto
93,556,0.4605760533573664,25140,55,5,6,13563,18,15,Rent,Masters,Widowed,1,0.16753012,Riesgo muy alto
94,844,0.5121728304538827,87135,87,9,1,9882,3,13,Rent,High School,Widowed,8,0.0,Riesgo bajo
95,628,0.438604323771902,76107,69,2,7,15243,19,22,Rent,PhD,Widowed,0,0.22468568,Riesgo muy alto
96,769,0.7561229105561545,143556,66,2,5,17575,1,20,Own,Masters,Married,23,0.26519385,Riesgo bajo
97,449,0.6327302408900496,83317,37,1,2,19540,18,6,Rent,High School,Divorced,4,0.22746629,Riesgo muy alto
98,380,0.5266822486359247,143315,63,9,1,4061,16,22,Rent,PhD,Widowed,0,0.19890752,Riesgo muy alto
99,548,0.2936328973001304,74465,83,6,12,1103,14,13,Own,Masters,Single,3,0.2754658,Riesgo alto
100,795,0.8656691644766361,48183,32,8,5,19641,9,14,Mortgage,PhD,Divorced,16,0.20540613,Riesgo medio
101,428,0.0231756605934341,183757,88,8,8,8030,7,13,Mortgage,Masters,Married,17,0.23102212,Riesgo medio
102,828,0.8427567358052707,138009,20,7,5,8010,6,23,Rent,PhD,Divorced,13,0.25219795,Riesgo medio
103,552,0.7552537380639951,26547,26,9,17,13405,13,8,Own,PhD,Divorced,7,0.26786217,Riesgo alto
104,403,0.234076651325877,111736,76,3,11,10504,14,4,Own,Bachelor,Widowed,22,0.23394087,Riesgo alto
105,665,0.2416716641639195,88296,71,9,19,7672,2,26,Own,Bachelor,Divorced,26,0.28900218,Riesgo bajo
106,743,0.098325106333344,173959,49,7,19,8299,7,0,Mortgage,High School,Widowed,24,0.0,Riesgo medio
107,395,0.69740825050472,191132,75,6,6,9124,19,0,Rent,Bachelor,Divorced,8,0.25816453,Riesgo muy alto
108,422,0.3512201035413698,77730,44,5,17,1060,8,20,Own,Masters,Married,7,0.26811415,Riesgo medio
109,819,0.7949277174360746,74824,54,7,13,12968,10,1,Own,Bachelor,Widowed,15,0.22632706,Riesgo medio
110,329,0.3067871289256907,127350,61,8,12,9539,10,8,Own,PhD,Married,2,0.28862408,Riesgo medio
111,756,0.2780314534204595,38731,54,9,17,3372,16,20,Own,Bachelor,Married,9,0.33956775,Riesgo muy alto
112,474,0.8259299089748505,185731,79,8,11,1676,12,18,Own,Masters,Single,16,0.29663447,Riesgo alto
113,701,0.7596328648237413,128946,52,8,15,11607,10,28,Own,PhD,Divorced,2,0.2579685,Riesgo medio
114,336,0.4606541503794322,145684,86,3,15,12064,16,21,Mortgage,Masters,Single,29,0.32349277,Riesgo muy alto
115,820,0.6243855427412671,66238,23,6,10,9387,17,26,Own,PhD,Widowed,14,0.22745492,Riesgo muy alto
116,350,0.1080154750134831,137905,20,3,7,2801,13,27,Own,Bachelor,Married,2,0.27148387,Riesgo alto
117,665,0.319224838961889,175264,89,5,18,13048,4,26,Mortgage,Masters,Divorced,2,0.22266361,Riesgo bajo
118,412,0.0988715851575031,29864,31,6,3,2280,13,19,Own,PhD,Single,7,0.25000635,Riesgo alto
119,671,0.3711582054017971,154366,44,0,10,3856,13,13,Rent,High School,Married,23,0.24161264,Riesgo alto
120,342,0.0269260794125715,63666,87,9,9,19378,8,25,Mortgage,High School,Widowed,28,0.1641382,Riesgo medio
121,587,0.5051635442564755,34557,67,8,8,13530,0,0,Mortgage,High School,Widowed,18,0.15841617,Sin riesgo
122,371,0.0783010341485249,175567,69,8,5,12709,18,3,Own,PhD,Widowed,16,0.19265912,Riesgo muy alto
123,765,0.9438211233866144,178540,24,8,11,16426,4,21,Own,Masters,Widowed,23,0.18565677,Riesgo bajo
124,330,0.4584591345743825,121735,45,9,4,15366,14,3,Rent,Masters,Married,26,0.18688086,Riesgo alto
125,707,0.9524587091686776,159862,68,9,17,12186,17,29,Own,Masters,Widowed,27,0.26813108,Riesgo muy alto
126,417,0.9036094618987038,25962,44,2,6,13892,15,22,Mortgage,PhD,Married,4,0.2901146,Riesgo muy alto
127,740,0.423896910523115,85265,46,3,12,5127,17,0,Mortgage,Masters,Married,9,0.25605696,Riesgo muy alto
128,698,0.041040973437543,74016,71,6,15,5864,13,4,Mortgage,High School,Single,29,0.2116919,Riesgo alto
129,640,0.1381412679610154,114858,64,7,12,11661,10,25,Mortgage,PhD,Single,3,0.25229934,Riesgo medio
130,800,0.4440193267147924,123877,84,1,3,7581,9,22,Rent,Masters,Divorced,20,0.22683194,Riesgo medio
131,591,0.3099429656558107,60607,60,7,7,19665,13,17,Own,High School,Single,27,0.27025664,Riesgo alto
132,810,0.3566282070162758,54762,81,8,19,3896,5,1,Rent,Bachelor,Widowed,5,0.16684337,Riesgo medio
133,397,0.9042669690336214,55518,43,4,17,11927,16,24,Rent,Bachelor,Married,24,0.32149148,Riesgo muy alto
134,740,0.4609138026972603,109841,28,7,17,18887,4,2,Own,High School,Widowed,28,0.18934397,Riesgo bajo
135,302,0.1142218851480243,168242,38,8,18,9034,9,13,Rent,Masters,Widowed,6,0.0,Riesgo medio
136,465,0.6058385863699303,35563,32,2,14,6752,2,5,Own,High School,Widowed,13,0.20981307,Riesgo bajo
137,649,0.7942570707704174,132555,87,6,0,8447,0,4,Own,Bachelor,Divorced,24,0.275014,Sin riesgo
138,366,0.6685390704806142,199334,21,6,7,4668,17,2,Own,High School,Married,26,0.2530494,Riesgo muy alto
139,367,0.0838835839969263,160807,44,2,9,2101,11,4,Mortgage,Bachelor,Single,5,0.25642502,Riesgo alto
140,429,0.1896605799818695,174047,69,5,16,17068,6,6,Own,High School,Married,22,0.25299487,Riesgo medio
141,784,0.5272118930890514,151381,86,2,18,1663,10,22,Mortgage,Bachelor,Divorced,27,0.32156703,Riesgo medio
142,415,0.8933687680097979,104787,70,0,1,10341,16,17,Rent,Bachelor,Divorced,24,0.30308557,Riesgo muy alto
143,687,0.5713179255781992,74834,52,1,2,17854,3,0,Own,Masters,Single,1,0.21771014,Riesgo bajo
144,454,0.5546951919895372,68150,20,1,5,5881,6,20,Rent,PhD,Widowed,27,0.22189732,Riesgo medio
145,561,0.6969307757468237,148137,27,8,12,12686,6,9,Rent,Bachelor,Widowed,5,0.16969493,Riesgo medio
146,761,0.0636486457110789,27381,80,5,19,14093,18,24,Mortgage,Bachelor,Single,3,0.27892235,Riesgo muy alto
147,349,0.4027046985769736,117670,49,8,4,7965,18,12,Own,High School,Single,25,0.24328353,Riesgo muy alto
148,815,0.1862258304992665,57779,48,0,10,1292,5,12,Rent,Bachelor,Married,12,0.28054044,Riesgo medio
149,494,0.3839047460931867,91693,80,0,19,12511,12,3,Rent,Masters,Single,7,0.26276863,Riesgo alto
150,662,0.0763236713037812,58695,50,8,15,10293,16,12,Own,Masters,Divorced,6,0.20076703,Riesgo muy alto
151,652,0.4154798253718572,45867,44,9,7,12431,0,21,Own,High School,Divorced,13,0.20756453,Sin riesgo
152,377,0.5278148223627023,166517,28,7,0,7252,10,2,Own,High School,Divorced,1,0.0,Riesgo medio
153,599,0.6761526778042348,107712,37,7,14,6110,9,4,Own,High School,Divorced,10,0.22494088,Riesgo medio
154,397,0.4041656577797266,195891,24,0,7,2054,8,10,Mortgage,Bachelor,Widowed,7,0.22285996,Riesgo medio
155,396,0.9678192052249068,113864,56,0,19,3940,16,6,Own,Bachelor,Married,26,0.35058016,Riesgo muy alto
156,493,0.5201642922484228,141859,72,9,15,14811,15,15,Rent,High School,Single,25,0.27385327,Riesgo muy alto
157,638,0.2542626232048502,75426,46,6,13,3149,7,3,Mortgage,PhD,Single,29,0.24769567,Riesgo medio
158,620,0.1418794670210318,64084,56,1,14,2530,19,11,Own,PhD,Single,6,0.29247084,Riesgo muy alto
159,843,0.4366589447235491,130385,36,3,15,15340,17,5,Rent,Bachelor,Single,29,0.2529966,Riesgo muy alto
160,310,0.2941898267212753,130630,74,8,12,15130,14,16,Rent,Bachelor,Widowed,1,0.21361558,Riesgo alto
161,349,0.708644876816966,95313,50,4,14,14828,13,0,Own,High School,Married,27,0.3153469,Riesgo alto
162,596,0.7109479424276627,123316,84,3,4,2484,17,9,Rent,PhD,Married,6,0.26987192,Riesgo muy alto
163,674,0.2064373835365233,165630,30,4,4,1480,10,27,Rent,PhD,Widowed,12,0.1817857,Riesgo medio
164,346,0.6970138417869318,61892,24,5,18,3263,12,23,Mortgage,Bachelor,Divorced,8,0.26262188,Riesgo alto
165,613,0.3948511090048762,43685,45,6,1,2537,10,19,Mortgage,Masters,Married,0,0.21005246,Riesgo medio
166,698,0.0635818256203104,56615,88,3,15,2409,3,19,Mortgage,High School,Divorced,23,0.22403656,Riesgo bajo
167,533,0.0100944716283225,125331,77,6,1,3742,12,27,Rent,Masters,Married,23,0.23288421,Riesgo alto
168,377,0.6327765962515669,141702,63,1,16,18070,19,14,Mortgage,PhD,Divorced,28,0.2714938,Riesgo muy alto
169,631,0.5114192015106067,133455,34,1,16,6186,3,4,Mortgage,PhD,Married,13,0.29410967,Riesgo bajo
170,726,0.1740462772309545,146746,43,6,15,12079,17,24,Mortgage,PhD,Widowed,14,0.16069987,Riesgo muy alto
171,805,0.4067415052915197,21146,69,7,11,8202,5,0,Mortgage,Bachelor,Single,13,0.29218584,Riesgo medio
172,647,0.4575574932807279,64709,40,7,12,19264,15,6,Own,Bachelor,Divorced,4,0.26364174,Riesgo muy alto
173,836,0.988395655856386,193122,39,2,4,18049,4,25,Mortgage,Bachelor,Single,5,0.2817649,Riesgo bajo
174,505,0.4392838411021295,31296,78,5,0,4476,12,27,Rent,Bachelor,Widowed,3,0.22419861,Riesgo alto
175,499,0.4492871078303906,22216,65,2,18,1472,11,3,Own,PhD,Divorced,22,0.29820815,Riesgo alto
176,713,0.7091941114796702,54123,56,7,3,14651,3,7,Own,PhD,Widowed,8,0.2310341,Riesgo bajo
177,301,0.2046848549712072,85452,81,8,17,9100,10,20,Mortgage,Bachelor,Married,23,0.32463196,Riesgo medio
178,534,0.0322561479225805,136033,46,9,1,11891,2,18,Mortgage,High School,Divorced,17,0.0,Riesgo bajo
179,701,0.7389505165916863,96547,83,0,8,16543,8,14,Own,Bachelor,Divorced,22,0.31974554,Riesgo medio
180,834,0.3148532061821455,23715,44,5,15,8557,11,24,Rent,Bachelor,Divorced,13,0.24691476,Riesgo alto
181,629,0.9459202691713828,128823,63,4,18,14798,6,26,Own,Masters,Single,18,0.3177053,Riesgo medio
182,727,0.2684445652657858,140066,31,3,15,2932,1,5,Mortgage,Bachelor,Widowed,27,0.191233,Riesgo bajo
183,305,0.2894342624571543,183370,80,4,16,18128,2,20,Mortgage,High School,Widowed,19,0.23756766,Riesgo bajo
184,750,0.917951515436591,155728,55,7,0,4387,17,1,Rent,PhD,Widowed,21,0.17865406,Riesgo muy alto
185,459,0.6121948271774827,133575,60,1,0,16888,15,9,Own,Bachelor,Married,11,0.30648553,Riesgo muy alto
186,552,0.4413855641350402,69116,73,2,14,3958,13,15,Own,High School,Married,16,0.30996424,Riesgo alto
187,809,0.0170206061414774,199977,87,4,14,12083,10,11,Own,Masters,Single,11,0.22100452,Riesgo medio
188,615,0.4991259437923284,189532,61,1,16,2421,16,18,Own,PhD,Single,6,0.30447808,Riesgo muy alto
189,361,0.0719855558471096,56648,41,4,18,18254,9,29,Rent,Bachelor,Married,20,0.24636674,Riesgo medio
190,567,0.8071588220384242,182421,36,5,0,12677,4,10,Mortgage,PhD,Divorced,16,0.18867221,Riesgo bajo
191,789,0.9413113410991132,25695,31,5,2,12146,1,13,Mortgage,High School,Widowed,11,0.15052204,Riesgo bajo
192,749,0.1134693857247679,129106,72,9,0,16145,9,7,Rent,Masters,Divorced,2,0.0,Riesgo medio
193,328,0.6126810561254327,70658,45,6,17,17616,17,18,Mortgage,Bachelor,Single,11,0.30529746,Riesgo muy alto
194,392,0.9493431727647652,74040,71,0,1,12378,10,0,Own,Masters,Divorced,27,0.2542287,Riesgo medio
195,427,0.7363204376915096,75285,66,4,14,14724,19,20,Own,PhD,Married,6,0.3410101,Riesgo muy alto
196,703,0.3906799661880077,92805,44,2,9,3806,11,5,Rent,Bachelor,Married,24,0.28239512,Riesgo alto
197,465,0.91734327924438,134745,22,3,5,15979,18,6,Rent,High School,Married,19,0.25538662,Riesgo muy alto
198,689,0.5116968595193173,174752,68,7,7,14187,10,12,Rent,Masters,Single,19,0.21548317,Riesgo medio
199,531,0.3348311109030284,190316,86,3,16,2612,11,8,Rent,High School,Divorced,3,0.18625778,Riesgo alto
200,452,0.1667896307569389,63712,88,6,7,7489,10,4,Rent,PhD,Single,12,0.26212665,Riesgo medio
201,755,0.0938004048106343,113703,22,2,3,8727,15,29,Rent,High School,Married,14,0.20119302,Riesgo muy alto
202,398,0.6232806505667765,151660,77,3,18,10020,1,6,Own,High School,Single,9,0.2839939,Riesgo bajo
203,753,0.0751823638562875,108968,26,7,16,7503,12,14,Mortgage,High School,Single,22,0.19073045,Riesgo alto
204,473,0.4281400493381766,159307,48,4,0,6927,10,25,Own,High School,Widowed,1,0.17453128,Riesgo medio
205,354,0.6527504832677086,141170,32,9,0,16878,1,26,Own,High School,Divorced,23,0.21856606,Riesgo bajo
206,644,0.3985713605817287,105624,83,0,1,5489,2,29,Rent,Masters,Married,8,0.25894567,Riesgo bajo
207,726,0.8813691354142595,95583,59,4,11,14414,19,13,Rent,Masters,Single,24,0.27419683,Riesgo muy alto
208,473,0.7599581870977201,100661,30,1,12,4333,18,0,Rent,Masters,Widowed,11,0.17920984,Riesgo muy alto
209,333,0.725529721215506,114139,80,7,13,4194,11,27,Mortgage,Bachelor,Divorced,27,0.3127957,Riesgo alto
210,602,0.1395262310421187,53657,73,0,4,4598,11,13,Rent,Bachelor,Single,4,0.24458554,Riesgo alto
211,753,0.9409772216590636,63789,43,4,16,16211,16,25,Rent,Masters,Married,10,0.25241092,Riesgo muy alto
212,664,0.0838392250677031,45316,41,0,19,4637,8,6,Own,PhD,Single,3,0.273735,Riesgo medio
213,763,0.5092776206229845,126596,52,2,3,13969,2,29,Rent,High School,Single,17,0.26172948,Riesgo bajo
214,685,0.2576941095767039,53179,66,2,17,3609,8,8,Own,High School,Single,6,0.2548838,Riesgo medio
215,304,0.5564222880570487,40293,45,4,11,10516,6,25,Own,Bachelor,Married,12,0.31676048,Riesgo medio
216,766,0.1320777687438262,69877,46,2,15,2646,13,16,Mortgage,Bachelor,Divorced,23,0.2665709,Riesgo alto
217,548,0.7785352194093882,141847,35,5,2,8620,5,6,Mortgage,High School,Married,7,0.20946807,Riesgo medio
218,844,0.7621972980100716,42507,47,2,4,5006,10,26,Rent,PhD,Divorced,18,0.28396603,Riesgo medio
219,780,0.1931638732762793,148833,24,2,5,9285,19,9,Own,High School,Single,7,0.19218615,Riesgo muy alto
220,772,0.5102244697477722,155573,79,5,4,1871,9,29,Own,PhD,Married,13,0.34061122,Riesgo medio
221,780,0.4593008779278725,199731,26,4,1,13066,17,22,Own,PhD,Married,11,0.28580716,Riesgo muy alto
222,810,0.1860011188987013,86884,53,4,3,16535,19,26,Own,PhD,Married,8,0.3171522,Riesgo muy alto
223,344,0.827143468656586,61048,26,2,7,9106,8,6,Own,PhD,Widowed,5,0.2333041,Riesgo medio
224,410,0.8053810919033958,129097,63,4,16,16360,4,10,Own,PhD,Single,4,0.30621275,Riesgo bajo
225,809,0.9831427903066297,136644,88,2,19,12113,1,9,Own,Bachelor,Single,2,0.3322047,Riesgo bajo
226,574,0.0175419316927382,36049,49,2,11,8084,17,1,Own,Bachelor,Married,20,0.30185238,Riesgo muy alto
227,394,0.1632350996979664,35313,84,8,12,2613,14,17,Rent,PhD,Divorced,18,0.24354984,Riesgo alto
228,756,0.4523575793162299,175903,82,7,10,3797,12,12,Rent,Masters,Single,2,0.22574098,Riesgo alto
229,513,0.0095497053011478,133533,55,5,8,5636,9,23,Rent,High School,Widowed,17,0.0,Riesgo medio
230,402,0.2720613708504847,66841,89,6,9,12304,5,17,Mortgage,Bachelor,Divorced,6,0.2521655,Riesgo medio
231,772,0.4833805317416705,72892,82,7,1,11084,11,24,Mortgage,High School,Married,14,0.2530226,Riesgo alto
232,570,0.4902753164903299,134247,46,0,17,1460,10,2,Own,Bachelor,Married,29,0.33033618,Riesgo medio
233,501,0.152767276651243,129375,69,3,11,14280,13,9,Rent,PhD,Widowed,12,0.17459089,Riesgo alto
234,545,0.6967884029595298,92891,48,8,15,2035,17,4,Mortgage,High School,Single,26,0.2522623,Riesgo muy alto
235,581,0.751005042767631,21874,55,9,17,16630,19,23,Rent,Bachelor,Single,19,0.31318507,Riesgo muy alto
236,345,0.0700145242950687,158250,30,4,19,3804,6,19,Own,Bachelor,Single,22,0.24265835,Riesgo medio
