ID,CreditScore,DebtRatio,Assets,Age,NumberOfDependents,NumberOfOpenCreditLinesAndLoans,MonthlyIncome,NumberOfTimesPastDue,EmploymentLength,HomeOwnership,Education,MaritalStatus,YearsAtCurrentAddress,NewLoanApplication,RiesgoPagAtrazo,probNoPago,Segment,int_rc_Segment,int_rc
10011,460,0.0303563361865748,60207,41,4,4,10571,6,7,Mortgage,Masters,Widowed,16,73997.0,Riesgo medio,0.07596635370704645,Sin riesgo,0.01,0.16000000000000003
10012,556,0.4605760533573664,25140,55,5,6,13563,18,15,Rent,Masters,Widowed,1,94941.0,Riesgo muy alto,0.14437545265313637,Riesgo bajo,0.03,0.18000000000000002
10013,844,0.5121728304538827,87135,87,9,1,9882,3,13,Rent,High School,Widowed,8,138348.0,Riesgo bajo,0.06876478348051117,Sin riesgo,0.01,0.16000000000000003
10014,743,0.098325106333344,173959,49,7,19,8299,7,0,Mortgage,High School,Widowed,24,149382.0,Riesgo medio,0.05809404622873778,Sin riesgo,0.01,0.16000000000000003
10015,342,0.0269260794125715,63666,87,9,9,19378,8,25,Mortgage,High School,Widowed,28,174402.0,Riesgo medio,0.12524982918626348,Riesgo bajo,0.03,0.18000000000000002
10016,587,0.5051635442564755,34557,67,8,8,13530,0,0,Mortgage,High School,Widowed,18,40590.0,Sin riesgo,0.11118067580302604,Riesgo bajo,0.03,0.18000000000000002
10017,810,0.3566282070162758,54762,81,8,19,3896,5,1,Rent,Bachelor,Widowed,5,27272.0,Riesgo medio,0.1101769262254269,Riesgo bajo,0.03,0.18000000000000002
10018,302,0.1142218851480243,168242,38,8,18,9034,9,13,Rent,Masters,Widowed,6,63238.0,Riesgo medio,0.06072486456120649,Sin riesgo,0.01,0.16000000000000003
10019,561,0.6969307757468237,148137,27,8,12,12686,6,9,Rent,Bachelor,Widowed,5,215662.0,Riesgo medio,0.16673551357492714,Riesgo bajo,0.03,0.18000000000000002
10020,377,0.5278148223627023,166517,28,7,0,7252,10,2,Own,High School,Divorced,1,101528.0,Riesgo medio,0.16704668870435918,Riesgo bajo,0.03,0.18000000000000002
10021,726,0.1740462772309545,146746,43,6,15,12079,17,24,Mortgage,PhD,Widowed,14,120790.0,Riesgo muy alto,0.15125426431078456,Riesgo bajo,0.03,0.18000000000000002
10022,534,0.0322561479225805,136033,46,9,1,11891,2,18,Mortgage,High School,Divorced,17,202147.0,Riesgo bajo,0.14777865053209818,Riesgo bajo,0.03,0.18000000000000002
10023,789,0.9413113410991132,25695,31,5,2,12146,1,13,Mortgage,High School,Widowed,11,267212.0,Riesgo bajo,0.13847313882717524,Riesgo bajo,0.03,0.18000000000000002
10024,749,0.1134693857247679,129106,72,9,0,16145,9,7,Rent,Masters,Divorced,2,306755.0,Riesgo medio,0.14718542645148575,Riesgo bajo,0.03,0.18000000000000002
10025,513,0.0095497053011478,133533,55,5,8,5636,9,23,Rent,High School,Widowed,17,101448.0,Riesgo medio,0.09177501554199931,Sin riesgo,0.01,0.16000000000000003
10026,500,0.4396256927976116,137810,87,6,4,5257,1,2,Rent,High School,Divorced,7,89369.0,Riesgo bajo,0.17394601168643006,Riesgo bajo,0.03,0.18000000000000002
10027,807,0.3765072678471363,101350,79,3,19,8072,5,1,Mortgage,High School,Widowed,0,137224.0,Riesgo medio,0.12497014366783454,Riesgo bajo,0.03,0.18000000000000002
10028,321,0.6173467396967849,55566,21,3,1,5321,0,14,Mortgage,Masters,Divorced,14,53210.0,Sin riesgo,0.20137025969138328,Riesgo bajo,0.03,0.18000000000000002
10029,317,0.1175275334024498,38847,33,8,3,17436,12,12,Rent,High School,Divorced,24,87180.0,Riesgo alto,0.17878528980247693,Riesgo bajo,0.03,0.18000000000000002
10030,306,0.4277647761460058,149304,30,6,10,14221,7,4,Rent,Masters,Divorced,16,241757.0,Riesgo medio,0.17820587915948813,Riesgo bajo,0.03,0.18000000000000002
10031,453,0.3112843734405391,153983,43,4,15,18533,0,14,Rent,High School,Widowed,11,111198.0,Sin riesgo,0.11107722946354846,Riesgo bajo,0.03,0.18000000000000002
10032,544,0.0881325599396851,123478,22,7,10,18077,13,11,Rent,Masters,Single,25,72308.0,Riesgo alto,0.1762763825014873,Riesgo bajo,0.03,0.18000000000000002
10033,460,0.1590269168013699,127728,36,9,8,12360,17,4,Own,Bachelor,Widowed,14,173040.0,Riesgo muy alto,0.163661256629553,Riesgo bajo,0.03,0.18000000000000002
10034,685,0.864404421262959,148266,35,6,0,4190,2,21,Rent,Masters,Divorced,7,12570.0,Riesgo bajo,0.19781752098916677,Riesgo bajo,0.03,0.18000000000000002
10035,394,0.7074052959076863,133296,46,8,14,12180,0,8,Mortgage,Masters,Divorced,2,133980.0,Sin riesgo,0.17635978012784775,Riesgo bajo,0.03,0.18000000000000002
10036,516,0.3143796593710414,51343,43,9,8,6820,3,5,Mortgage,Bachelor,Widowed,19,54560.0,Riesgo bajo,0.13136412129924246,Riesgo bajo,0.03,0.18000000000000002
10037,578,0.0649048512698934,78678,85,7,13,11399,5,3,Rent,Masters,Divorced,9,136788.0,Riesgo medio,0.15807185599069182,Riesgo bajo,0.03,0.18000000000000002
10038,536,0.3218254543152953,33674,63,8,11,7175,4,1,Own,Masters,Widowed,1,129150.0,Riesgo bajo,0.08539366267554215,Sin riesgo,0.01,0.16000000000000003
10039,593,0.3795315689111994,158350,19,8,5,7862,6,13,Mortgage,PhD,Divorced,11,133654.0,Riesgo medio,0.16634107462581504,Riesgo bajo,0.03,0.18000000000000002
10040,812,0.0135688105747538,63420,65,4,1,6263,5,19,Rent,High School,Widowed,25,50104.0,Riesgo medio,0.0615859029974492,Sin riesgo,0.01,0.16000000000000003
10041,624,0.4358259711032395,151875,25,5,4,14866,3,9,Own,High School,Widowed,5,178392.0,Riesgo bajo,0.08570319660373846,Sin riesgo,0.01,0.16000000000000003
10042,809,0.0983103893248005,160057,58,3,10,10877,1,27,Mortgage,High School,Widowed,11,108770.0,Riesgo bajo,0.11058853960960859,Riesgo bajo,0.03,0.18000000000000002
10043,355,0.0688631063049124,178046,89,6,3,4182,13,1,Mortgage,High School,Widowed,8,41820.0,Riesgo alto,0.10082125007458384,Riesgo bajo,0.03,0.18000000000000002
10044,792,0.2520325625321646,44003,70,9,1,14187,0,28,Mortgage,Masters,Widowed,9,212805.0,Sin riesgo,0.07211033379906653,Sin riesgo,0.01,0.16000000000000003
10045,423,0.9096815845602916,78213,35,9,13,13046,8,13,Rent,Masters,Divorced,3,221782.0,Riesgo medio,0.19805005451511926,Riesgo bajo,0.03,0.18000000000000002
10046,440,0.1804019010027925,65593,66,9,11,2622,10,6,Rent,High School,Widowed,0,39330.0,Riesgo medio,0.06618611050030739,Sin riesgo,0.01,0.16000000000000003
10047,820,0.3787255549115349,48976,30,9,5,3861,1,18,Mortgage,PhD,Widowed,20,34749.0,Riesgo bajo,0.12754036901372517,Riesgo bajo,0.03,0.18000000000000002
10048,630,0.4874379046568359,125483,19,5,4,18729,4,10,Mortgage,High School,Divorced,1,56187.0,Riesgo bajo,0.1642453389099252,Riesgo bajo,0.03,0.18000000000000002
10049,821,0.3932005069594873,103563,77,8,14,11886,9,29,Mortgage,Masters,Widowed,3,95088.0,Riesgo medio,0.14301510573313908,Riesgo bajo,0.03,0.18000000000000002
10050,822,0.3390848763878119,126478,66,9,10,4138,0,0,Own,High School,Widowed,4,78622.0,Sin riesgo,0.05594883639833709,Sin riesgo,0.01,0.16000000000000003
10051,727,0.0663334168063698,61987,52,2,11,5722,17,28,Mortgage,High School,Widowed,1,28610.0,Riesgo muy alto,0.12545710330534388,Riesgo bajo,0.03,0.18000000000000002
10052,675,0.693203304752534,106962,39,8,3,6011,12,8,Mortgage,High School,Widowed,26,24044.0,Riesgo alto,0.1195127823582017,Riesgo bajo,0.03,0.18000000000000002
10053,610,0.0112062229957949,142855,70,4,18,4113,11,13,Own,High School,Widowed,5,41130.0,Riesgo alto,0.12611854755502414,Riesgo bajo,0.03,0.18000000000000002
10054,436,0.1063746411375482,176577,79,9,0,16222,9,2,Rent,Masters,Married,22,97332.0,Riesgo medio,0.1896634210155833,Riesgo bajo,0.03,0.18000000000000002
10055,604,0.2493933324196662,130014,20,5,15,16246,6,24,Rent,Masters,Divorced,10,243690.0,Riesgo medio,0.1723104483539065,Riesgo bajo,0.03,0.18000000000000002
10056,570,0.0239393852759406,174522,28,2,3,17027,10,12,Rent,PhD,Widowed,18,306486.0,Riesgo medio,0.12717423936799785,Riesgo bajo,0.03,0.18000000000000002
10057,700,0.4457468635794926,76775,86,9,1,2969,8,2,Mortgage,High School,Widowed,4,53442.0,Riesgo medio,0.07547530667620812,Sin riesgo,0.01,0.16000000000000003
10058,441,0.3099436059789231,105555,67,9,6,14578,16,22,Rent,Masters,Widowed,5,306138.0,Riesgo muy alto,0.1080630114464461,Riesgo bajo,0.03,0.18000000000000002
10059,607,0.2027386261894344,117098,89,0,19,5035,5,13,Rent,High School,Widowed,5,30210.0,Riesgo medio,0.07352734071132774,Sin riesgo,0.01,0.16000000000000003
10060,671,0.2026507154537716,65616,54,7,8,9325,19,7,Mortgage,Masters,Widowed,0,74600.0,Riesgo muy alto,0.0630708441595749,Sin riesgo,0.01,0.16000000000000003
10061,759,0.4527908857701047,189172,58,4,3,6758,0,2,Mortgage,Masters,Divorced,11,101370.0,Sin riesgo,0.18869532344928838,Riesgo bajo,0.03,0.18000000000000002
10062,653,0.0272946266038021,122999,85,1,7,12591,10,15,Rent,High School,Widowed,10,201456.0,Riesgo medio,0.07381575128894502,Sin riesgo,0.01,0.16000000000000003
10063,369,0.4139852776333019,118703,20,8,8,12814,7,8,Rent,High School,Widowed,13,76884.0,Riesgo medio,0.09027042747106111,Sin riesgo,0.01,0.16000000000000003
10064,624,0.0760750394342928,54556,33,7,12,18301,1,29,Mortgage,Masters,Divorced,14,384321.0,Riesgo bajo,0.1426063085888456,Riesgo bajo,0.03,0.18000000000000002
10065,327,0.4542572673236871,86584,51,7,17,5062,7,4,Rent,Masters,Divorced,3,80992.0,Riesgo medio,0.19139996683612565,Riesgo bajo,0.03,0.18000000000000002
10066,809,0.92534525388761,48463,69,5,10,19041,11,9,Rent,Masters,Widowed,8,228492.0,Riesgo alto,0.1406138302157798,Riesgo bajo,0.03,0.18000000000000002
10067,681,0.104552926978596,60918,59,2,12,11469,6,13,Rent,Masters,Widowed,6,68814.0,Riesgo medio,0.05341334507492758,Sin riesgo,0.01,0.16000000000000003
10068,499,0.2262730969023417,56347,25,7,1,19780,0,28,Mortgage,Bachelor,Widowed,21,178020.0,Sin riesgo,0.15291230862999367,Riesgo bajo,0.03,0.18000000000000002
10069,620,0.4196740502182668,46089,39,3,6,6485,4,1,Own,High School,Widowed,2,136185.0,Riesgo bajo,0.11749158011552928,Riesgo bajo,0.03,0.18000000000000002
10070,579,0.3687452927356688,131497,44,9,7,10685,8,17,Own,High School,Widowed,7,106850.0,Riesgo medio,0.1225036370380214,Riesgo bajo,0.03,0.18000000000000002
10071,767,0.9841589570473204,159146,30,9,1,18678,11,17,Mortgage,Masters,Married,14,149424.0,Riesgo alto,0.18259849808657574,Riesgo bajo,0.03,0.18000000000000002
10072,695,0.3005582194523124,192932,27,5,0,14908,19,24,Mortgage,High School,Widowed,16,89448.0,Riesgo muy alto,0.10743448230962169,Riesgo bajo,0.03,0.18000000000000002
10073,310,0.168542113732019,139368,26,6,19,13622,11,29,Own,Masters,Widowed,10,258818.0,Riesgo alto,0.13660257350210023,Riesgo bajo,0.03,0.18000000000000002
10074,820,0.1457846007182559,96607,60,1,10,14090,16,11,Rent,Masters,Widowed,12,42270.0,Riesgo muy alto,0.0677765809481398,Sin riesgo,0.01,0.16000000000000003
10075,764,0.0724449473751327,45557,20,6,5,2640,1,7,Mortgage,Masters,Single,8,42240.0,Riesgo bajo,0.14086510626031656,Riesgo bajo,0.03,0.18000000000000002
10076,560,0.5771126589984643,132405,27,4,2,7430,5,0,Own,High School,Widowed,27,96590.0,Riesgo medio,0.15663276826837885,Riesgo bajo,0.03,0.18000000000000002
10077,593,0.1068101195388474,164126,88,3,11,7745,0,1,Rent,Masters,Married,3,77450.0,Sin riesgo,0.1728162732071982,Riesgo bajo,0.03,0.18000000000000002
10078,765,0.6761956901192232,56957,56,7,6,9170,6,17,Rent,High School,Widowed,0,128380.0,Riesgo medio,0.12233147196663788,Riesgo bajo,0.03,0.18000000000000002
10079,458,0.5696963244630067,63412,71,5,16,12950,0,0,Rent,Masters,Widowed,9,142450.0,Sin riesgo,0.11133174714060841,Riesgo bajo,0.03,0.18000000000000002
10080,753,0.1229742384958967,154919,32,9,7,18971,12,29,Own,Masters,Widowed,22,322507.0,Riesgo alto,0.10792068167977334,Riesgo bajo,0.03,0.18000000000000002
10081,342,0.3650052651838616,48964,27,4,17,4511,2,1,Rent,High School,Widowed,19,94731.0,Riesgo bajo,0.12308905079793885,Riesgo bajo,0.03,0.18000000000000002
10082,737,0.0700189305448651,109765,31,6,16,8703,6,14,Own,Bachelor,Widowed,18,156654.0,Riesgo medio,0.14634388500910922,Riesgo bajo,0.03,0.18000000000000002
10083,409,0.4935539167804333,57667,23,8,5,16876,16,27,Mortgage,High School,Widowed,2,84380.0,Riesgo muy alto,0.12637986414247077,Riesgo bajo,0.03,0.18000000000000002
10084,447,0.1287966775074743,142539,66,4,13,14739,6,8,Own,Masters,Widowed,10,58956.0,Riesgo medio,0.11468434568407161,Riesgo bajo,0.03,0.18000000000000002
10085,597,0.2058229960393357,147794,19,4,6,10334,2,4,Mortgage,Masters,Single,10,196346.0,Riesgo bajo,0.1485161410797576,Riesgo bajo,0.03,0.18000000000000002
10086,644,0.9269345203968204,34579,20,6,7,16639,14,18,Rent,Masters,Widowed,24,66556.0,Riesgo alto,0.1763441398314655,Riesgo bajo,0.03,0.18000000000000002
10087,751,0.7369897641101478,119716,51,3,7,7189,1,20,Rent,Masters,Widowed,11,122213.0,Riesgo bajo,0.16539763861298526,Riesgo bajo,0.03,0.18000000000000002
10088,790,0.4386684623610668,47672,50,9,1,4756,12,27,Rent,Masters,Widowed,13,80852.0,Riesgo alto,0.1246031823774614,Riesgo bajo,0.03,0.18000000000000002
10089,519,0.3656851984435433,90090,37,9,11,8374,9,17,Mortgage,Masters,Divorced,3,75366.0,Riesgo medio,0.16079928955727993,Riesgo bajo,0.03,0.18000000000000002
10090,395,0.3057215620803875,36183,30,8,12,10308,1,2,Mortgage,Bachelor,Widowed,11,41232.0,Riesgo bajo,0.14144579193254803,Riesgo bajo,0.03,0.18000000000000002
10091,833,0.3043620804173397,146802,86,6,9,12801,13,4,Own,High School,Widowed,21,89607.0,Riesgo alto,0.10707642773387976,Riesgo bajo,0.03,0.18000000000000002
10092,802,0.0913651196862406,178772,31,5,7,9169,5,7,Rent,PhD,Widowed,3,174211.0,Riesgo medio,0.06737877436209089,Sin riesgo,0.01,0.16000000000000003
10093,750,0.9092657413306228,198049,57,9,3,14692,15,11,Mortgage,PhD,Widowed,11,176304.0,Riesgo muy alto,0.13660112039019776,Riesgo bajo,0.03,0.18000000000000002
10094,439,0.0001352521913496,49158,51,0,4,4526,16,0,Own,High School,Widowed,26,54312.0,Riesgo muy alto,0.09598147337476072,Sin riesgo,0.01,0.16000000000000003
10095,800,0.0077371322756732,181505,29,7,15,19241,2,13,Mortgage,Masters,Divorced,9,288615.0,Riesgo bajo,0.13050774271498153,Riesgo bajo,0.03,0.18000000000000002
10096,469,0.5449938238426134,46232,30,2,2,4640,4,10,Rent,High School,Widowed,13,55680.0,Riesgo bajo,0.137085621188994,Riesgo bajo,0.03,0.18000000000000002
10097,682,0.0804576004894517,98299,54,9,19,13207,0,7,Rent,High School,Widowed,16,26414.0,Sin riesgo,0.029950716929202512,Sin riesgo,0.01,0.16000000000000003
10098,596,0.0394293441021752,196221,33,8,13,16521,19,7,Mortgage,Masters,Divorced,6,82605.0,Riesgo muy alto,0.13363208498991422,Riesgo bajo,0.03,0.18000000000000002
10099,649,0.0793409954697024,105013,60,2,12,10028,6,23,Rent,Masters,Widowed,1,70196.0,Riesgo medio,0.08051591356609768,Sin riesgo,0.01,0.16000000000000003
10100,845,0.9119523857707216,53133,25,3,7,1552,12,19,Rent,Masters,Widowed,13,17072.0,Riesgo alto,0.16868167605083179,Riesgo bajo,0.03,0.18000000000000002
10101,437,0.101686777482996,99955,20,9,9,3256,9,28,Mortgage,Masters,Widowed,7,29304.0,Riesgo medio,0.06136076692974794,Sin riesgo,0.01,0.16000000000000003
10102,747,0.4807162563304257,181009,43,6,16,4211,2,2,Rent,Bachelor,Widowed,13,25266.0,Riesgo bajo,0.1367099233465564,Riesgo bajo,0.03,0.18000000000000002
10103,555,0.7969321363650979,169419,41,9,15,19626,12,3,Rent,Masters,Widowed,0,333642.0,Riesgo alto,0.12147846675098234,Riesgo bajo,0.03,0.18000000000000002
10104,383,0.0715466141129781,199461,31,7,17,14446,0,17,Mortgage,Masters,Single,3,101122.0,Sin riesgo,0.12736909647954694,Riesgo bajo,0.03,0.18000000000000002
10105,302,0.1907004823944699,127542,47,9,0,11313,4,10,Rent,Bachelor,Widowed,1,90504.0,Riesgo bajo,0.09214827508948417,Sin riesgo,0.01,0.16000000000000003
10106,689,0.0966659145319912,113028,33,9,14,6271,0,1,Rent,High School,Widowed,22,119149.0,Sin riesgo,0.033447162482593745,Sin riesgo,0.01,0.16000000000000003
10107,363,0.00546684361211,153959,64,7,7,2872,1,2,Rent,Masters,Single,14,34464.0,Riesgo bajo,0.15598981616194962,Riesgo bajo,0.03,0.18000000000000002
10108,587,0.013013503128309,67350,89,8,0,13245,9,29,Own,High School,Widowed,0,105960.0,Riesgo medio,0.11271912569377719,Riesgo bajo,0.03,0.18000000000000002
10109,718,0.2230414153304992,142665,33,9,2,19665,17,2,Mortgage,PhD,Widowed,19,275310.0,Riesgo muy alto,0.07787042603108642,Sin riesgo,0.01,0.16000000000000003
10110,630,0.0338955165106389,49487,54,3,0,19612,15,29,Rent,Masters,Widowed,7,274568.0,Riesgo muy alto,0.09819054021834114,Sin riesgo,0.01,0.16000000000000003
10111,786,0.2304503087086702,82613,42,3,11,4188,6,15,Mortgage,High School,Widowed,24,37692.0,Riesgo medio,0.12281997684639849,Riesgo bajo,0.03,0.18000000000000002
10112,639,0.5928281823912299,87097,54,9,7,18730,6,10,Rent,Bachelor,Widowed,0,412060.0,Riesgo medio,0.14311139966556088,Riesgo bajo,0.03,0.18000000000000002
10113,370,0.8573280642013115,158236,54,4,9,12911,9,1,Rent,Masters,Widowed,18,180754.0,Riesgo medio,0.14443531303175647,Riesgo bajo,0.03,0.18000000000000002
10114,553,0.1531695547329973,111310,81,9,7,9176,17,18,Mortgage,High School,Widowed,8,165168.0,Riesgo muy alto,0.10338804012824573,Riesgo bajo,0.03,0.18000000000000002
10115,677,0.118382153103099,62601,36,6,18,15568,9,24,Own,Masters,Widowed,0,233520.0,Riesgo medio,0.10359010996362092,Riesgo bajo,0.03,0.18000000000000002
10116,766,0.4339080459740175,193525,61,1,13,14582,3,4,Rent,Bachelor,Widowed,3,247894.0,Riesgo bajo,0.10194942648028354,Riesgo bajo,0.03,0.18000000000000002
10117,724,0.9615800615908692,195770,29,8,0,11221,12,5,Mortgage,High School,Divorced,3,89768.0,Riesgo alto,0.1407773396610096,Riesgo bajo,0.03,0.18000000000000002
10118,805,0.1571586696846539,84928,85,7,18,12724,6,10,Rent,Masters,Divorced,14,229032.0,Riesgo medio,0.18152281850572868,Riesgo bajo,0.03,0.18000000000000002
10119,675,0.2382677424069076,53358,28,7,16,11718,2,23,Mortgage,High School,Widowed,13,70308.0,Riesgo bajo,0.08566887106430565,Sin riesgo,0.01,0.16000000000000003
10120,362,0.0788234191055301,106913,43,6,4,11778,19,24,Mortgage,High School,Divorced,17,212004.0,Riesgo muy alto,0.18957668018948604,Riesgo bajo,0.03,0.18000000000000002
10121,468,0.2000709954699414,87080,48,3,8,17949,5,23,Rent,High School,Widowed,4,161541.0,Riesgo medio,0.10268237324118488,Riesgo bajo,0.03,0.18000000000000002
10122,640,0.2581598356688017,176939,72,6,7,12423,13,11,Mortgage,Masters,Widowed,12,173922.0,Riesgo alto,0.09932872027450122,Sin riesgo,0.01,0.16000000000000003
10123,586,0.7724810279414502,164692,54,5,0,14579,17,5,Rent,Masters,Widowed,1,72895.0,Riesgo muy alto,0.13354164308902933,Riesgo bajo,0.03,0.18000000000000002
10124,644,0.0404348686515833,25711,43,8,13,2390,8,9,Rent,High School,Widowed,4,35850.0,Riesgo medio,0.03474623792094856,Sin riesgo,0.01,0.16000000000000003
10125,505,0.1584225920479093,141871,20,2,4,7491,2,10,Mortgage,Masters,Widowed,1,37455.0,Riesgo bajo,0.07546176050857714,Sin riesgo,0.01,0.16000000000000003
10126,525,0.1034746010377488,36813,37,9,6,1791,9,20,Mortgage,Masters,Divorced,18,30447.0,Riesgo medio,0.15933083649881388,Riesgo bajo,0.03,0.18000000000000002
10127,715,0.0443879075920414,47361,47,0,15,4989,5,6,Rent,High School,Widowed,17,99780.0,Riesgo medio,0.030025561010789587,Sin riesgo,0.01,0.16000000000000003
10128,592,0.0231491547641233,181910,63,5,14,7617,17,4,Rent,PhD,Widowed,22,45702.0,Riesgo muy alto,0.10156992351153121,Riesgo bajo,0.03,0.18000000000000002
10129,450,0.296537626719073,182430,50,5,10,16261,15,18,Mortgage,High School,Divorced,0,276437.0,Riesgo muy alto,0.18764685822870122,Riesgo bajo,0.03,0.18000000000000002
10130,447,0.2512252359050928,98473,26,3,4,13757,7,4,Own,Masters,Widowed,5,178841.0,Riesgo medio,0.09425000880206154,Sin riesgo,0.01,0.16000000000000003
10131,679,0.0510392344144378,129814,66,3,2,18920,19,12,Mortgage,Masters,Widowed,7,75680.0,Riesgo muy alto,0.10652913021993451,Riesgo bajo,0.03,0.18000000000000002
10132,657,0.6724497697981313,193292,48,8,13,12113,9,1,Rent,Masters,Widowed,18,254373.0,Riesgo medio,0.1062339867711458,Riesgo bajo,0.03,0.18000000000000002
10133,679,0.072270822793918,120217,67,2,7,16860,0,4,Own,Masters,Widowed,3,185460.0,Sin riesgo,0.06872574275067486,Sin riesgo,0.01,0.16000000000000003
10134,687,0.3584377784027343,162807,18,5,5,7599,12,18,Rent,High School,Widowed,8,144381.0,Riesgo alto,0.11029794838252156,Riesgo bajo,0.03,0.18000000000000002
10135,514,0.4074474012817198,101149,87,2,4,7366,10,0,Rent,Masters,Widowed,18,58928.0,Riesgo medio,0.0958365886855405,Sin riesgo,0.01,0.16000000000000003
10136,395,0.2962248670284728,150464,20,9,14,1502,1,0,Mortgage,Masters,Single,1,9012.0,Riesgo bajo,0.1433860165069184,Riesgo bajo,0.03,0.18000000000000002
10137,404,0.54658268897434,129814,23,9,7,2756,3,9,Mortgage,Masters,Widowed,6,33072.0,Riesgo bajo,0.07804615375564496,Sin riesgo,0.01,0.16000000000000003
10138,512,0.6588003202214213,110866,21,7,4,13093,8,27,Rent,High School,Widowed,6,209488.0,Riesgo medio,0.15415354930603606,Riesgo bajo,0.03,0.18000000000000002
10139,487,0.0229432921798831,174632,18,3,12,6493,3,17,Mortgage,Masters,Widowed,23,45451.0,Riesgo bajo,0.10044010246422828,Riesgo bajo,0.03,0.18000000000000002
10140,651,0.0028473380773569,126191,23,1,9,4929,9,4,Rent,Bachelor,Widowed,17,9858.0,Riesgo medio,0.10354791970716189,Riesgo bajo,0.03,0.18000000000000002
10141,810,0.8086970651067672,119374,20,9,2,17712,16,27,Rent,High School,Widowed,23,301104.0,Riesgo muy alto,0.1843995960848147,Riesgo bajo,0.03,0.18000000000000002
10142,631,0.4608265633376861,97278,83,7,15,9849,3,3,Mortgage,Masters,Widowed,3,68943.0,Riesgo bajo,0.10537465172648043,Riesgo bajo,0.03,0.18000000000000002
10143,411,0.1383585991779318,136571,40,8,2,9397,8,16,Mortgage,Masters,Widowed,5,187940.0,Riesgo medio,0.06854962037122926,Sin riesgo,0.01,0.16000000000000003
10144,813,0.7461235327064653,142640,44,8,14,16233,8,2,Rent,Bachelor,Widowed,21,340893.0,Riesgo medio,0.1755907492657395,Riesgo bajo,0.03,0.18000000000000002
10145,494,0.0844598721095752,146507,40,6,11,18899,3,7,Rent,Masters,Single,29,226788.0,Riesgo bajo,0.17776354141966894,Riesgo bajo,0.03,0.18000000000000002
10146,756,0.1174543903596171,164191,36,1,12,11592,9,20,Mortgage,Masters,Widowed,10,150696.0,Riesgo medio,0.10599126460534038,Riesgo bajo,0.03,0.18000000000000002
10147,753,0.1635030062021988,192343,44,0,2,6009,4,19,Own,High School,Widowed,24,96144.0,Riesgo bajo,0.1389334975984005,Riesgo bajo,0.03,0.18000000000000002
10148,715,0.3698050016827771,192138,52,7,4,17162,5,13,Rent,Bachelor,Widowed,21,291754.0,Riesgo medio,0.13278346909506927,Riesgo bajo,0.03,0.18000000000000002
10149,360,0.5646101440257894,147670,65,3,6,4515,6,0,Rent,High School,Widowed,0,27090.0,Riesgo medio,0.10248629025234855,Riesgo bajo,0.03,0.18000000000000002
10150,360,0.8073829690487893,127298,26,6,1,14414,11,7,Rent,Masters,Married,5,187382.0,Riesgo alto,0.1806927136861209,Riesgo bajo,0.03,0.18000000000000002
10151,831,0.6286036990276237,187831,84,4,11,15097,14,10,Rent,Bachelor,Widowed,12,211358.0,Riesgo alto,0.17108928979418633,Riesgo bajo,0.03,0.18000000000000002
10152,371,0.0239515638528958,192378,47,7,13,9995,6,24,Rent,Masters,Divorced,3,59970.0,Riesgo medio,0.15794177428828934,Riesgo bajo,0.03,0.18000000000000002
