ID,int_rc
10219,0.18
10220,0.18
10221,0.18
10222,0.18
10223,0.18
10224,0.18
10225,0.16
10226,0.16
10227,0.18
10228,0.18
10229,0.16
10230,0.18
10231,0.18
10232,0.18
10233,0.18
10234,0.18
10235,0.18
10236,0.16
10237,0.16
10238,0.16
10239,0.18
10240,0.18
10241,0.18
10242,0.18
10243,0.18
10244,0.18
10245,0.16
10246,0.18
10247,0.18
10248,0.18
10249,0.18
10250,0.18
10251,0.18
10252,0.16
10253,0.18
10254,0.18
10255,0.18
10256,0.16
10257,0.18
10258,0.18
10259,0.18
10260,0.18
10261,0.16
10262,0.18
10263,0.18
10264,0.18
10265,0.18
10266,0.16
10267,0.18
10268,0.18
10269,0.18
10270,0.18
10271,0.18
10272,0.16
10273,0.18
10274,0.18
10275,0.18
10276,0.16
10277,0.18
10278,0.16
10279,0.18
10280,0.18
10281,0.18
10282,0.16
10283,0.18
10284,0.18
10285,0.16
10286,0.16
10287,0.18
10288,0.16
10289,0.18
10290,0.18
10291,0.18
10292,0.16
10293,0.18
10294,0.18
10295,0.18
10296,0.18
10297,0.18
10298,0.18
10299,0.16
10300,0.18
10301,0.16
10302,0.18
10303,0.18
10304,0.18
10305,0.18
10306,0.18
10307,0.16
10308,0.18
10309,0.18
10310,0.16
10311,0.18
10312,0.18
10313,0.18
10314,0.18
10315,0.18
10316,0.16
10317,0.16
10318,0.16
10319,0.16
10320,0.18
10321,0.18
10322,0.18
10323,0.18
10324,0.18
10325,0.18
10326,0.18
10327,0.18
10328,0.18
10329,0.18
10330,0.18
10331,0.18
10332,0.16
10333,0.18
10334,0.18
10335,0.16
10336,0.18
10337,0.18
10338,0.16
10339,0.18
10340,0.16
10341,0.18
10342,0.18
10343,0.18
10344,0.18
10345,0.18
10346,0.18
10347,0.16
10348,0.16
10349,0.18
10350,0.16
10351,0.16
10352,0.18
10353,0.18
10354,0.16
10355,0.16
10356,0.16
10357,0.18
10358,0.18
10359,0.16
10360,0.16
10361,0.18
10362,0.18
10363,0.18
10364,0.18
10365,0.16
10366,0.18
10367,0.18
10368,0.18
10369,0.16
10370,0.18
10371,0.18
10372,0.16
10373,0.18
10374,0.16
10375,0.18
10376,0.18
10377,0.16
10378,0.18
10379,0.18
10380,0.18
10381,0.18
10382,0.18
10383,0.18
10384,0.18
10385,0.18
10386,0.18
10387,0.18
10388,0.18
10389,0.18
10390,0.16
10391,0.16
10392,0.18
10393,0.18
10394,0.18
10395,0.18
10396,0.18
10397,0.18
10398,0.18
10399,0.16
10400,0.18
10401,0.16
10402,0.18
10403,0.18
10404,0.18
10405,0.18
10406,0.16
10407,0.16
10408,0.18
10409,0.18
10410,0.18
10411,0.18
10412,0.16
10413,0.18
10414,0.18
10415,0.18
10416,0.18
10417,0.16
10418,0.18
10419,0.18
10420,0.18
10421,0.18
10422,0.18
10423,0.18
10424,0.18
10425,0.18
10426,0.18
10427,0.18
10428,0.18
10429,0.18
10430,0.18
10431,0.18
10432,0.18
10433,0.18
10434,0.16
10435,0.16
10436,0.18
10437,0.16
10438,0.18
10439,0.16
10440,0.18
10441,0.16
10442,0.16
10443,0.18
10444,0.18
10445,0.18
10446,0.18
10447,0.18
10448,0.18
10449,0.18
10450,0.16
10451,0.18
10452,0.18
10453,0.18
10454,0.18
10455,0.18
10456,0.18
10457,0.18
10458,0.18
10459,0.16
10460,0.18
10461,0.16
10462,0.16
10463,0.18
10464,0.16
10465,0.18
10466,0.16
10467,0.18
10468,0.18
10469,0.16
10470,0.18
10471,0.16
10472,0.16
10473,0.18
10474,0.16
10475,0.18
10476,0.18
10477,0.18
10478,0.18
10479,0.16
10480,0.18
10481,0.16
10482,0.18
10483,0.16
10484,0.18
10485,0.18
10486,0.18
10487,0.18
10488,0.16
10489,0.18
10490,0.16
10491,0.18
10492,0.18
10493,0.18
10494,0.18
10495,0.16
10496,0.18
10497,0.18
10498,0.18
10499,0.18
10500,0.16
10501,0.16
10502,0.16
10503,0.18
10504,0.18
10505,0.18
10506,0.18
10507,0.16
10508,0.18
10509,0.16
10510,0.18
10511,0.18
10512,0.18
10513,0.16
10514,0.16
10515,0.18
10516,0.18
10517,0.18
10518,0.16
10519,0.18
10520,0.18
10521,0.18
10522,0.18
10523,0.18
10524,0.18
10525,0.18
10526,0.18
10527,0.16
10528,0.18
10529,0.18
10530,0.18
10531,0.18
10532,0.18
10533,0.18
10534,0.18
10535,0.16
10536,0.16
10537,0.18
10538,0.18
10539,0.18
10540,0.18
10541,0.16
10542,0.18
10543,0.18
10544,0.16
10545,0.18
10546,0.16
10547,0.18
10548,0.18
10549,0.16
10550,0.18
10551,0.18
10552,0.16
10553,0.18
10554,0.18
10555,0.18
10556,0.16
10557,0.18
10558,0.18
10559,0.18
10560,0.18
10561,0.18
10562,0.18
10563,0.18
10564,0.18
10565,0.18
10566,0.18
10567,0.16
10568,0.18
10569,0.18
10570,0.16
10571,0.18
10572,0.18
10573,0.18
10574,0.16
10575,0.16
10576,0.16
10577,0.18
10578,0.18
10579,0.18
10580,0.18
10581,0.18
10582,0.16
10583,0.18
10584,0.18
10585,0.18
10586,0.16
10587,0.18
10588,0.16
10589,0.18
10590,0.18
10591,0.18
10592,0.18
10593,0.18
10594,0.18
10595,0.18
10596,0.16
10597,0.16
10598,0.18
10599,0.18
10600,0.16
10601,0.18
10602,0.18
10603,0.16
10604,0.18
10605,0.16
10606,0.18
10607,0.16
10608,0.18
10609,0.18
10610,0.18
10611,0.18
10612,0.18
10613,0.18
10614,0.18
10615,0.18
10616,0.18
10617,0.16
10618,0.18
10619,0.18
10620,0.18
10621,0.16
10622,0.18
10623,0.18
10624,0.18
10625,0.18
10626,0.16
10627,0.16
10628,0.18
10629,0.18
10630,0.18
10631,0.16
10632,0.18
10633,0.16
10634,0.18
10635,0.18
10636,0.16
10637,0.18
10638,0.16
10639,0.16
10640,0.18
10641,0.18
10642,0.18
10643,0.18
10644,0.16
10645,0.16
10646,0.18
10647,0.18
10648,0.18
10649,0.18
10650,0.18
10651,0.18
10652,0.16
10653,0.18
10654,0.16
10655,0.18
10656,0.18
10657,0.18
10658,0.16
10659,0.16
10660,0.18
10661,0.16
10662,0.18
10663,0.18
10664,0.18
10665,0.16
10666,0.16
10667,0.16
10668,0.18
10669,0.18
10670,0.18
10671,0.18
10672,0.18
10673,0.18
10674,0.18
10675,0.18
10676,0.18
10677,0.18
10678,0.18
10679,0.18
10680,0.18
10681,0.18
10682,0.16
10683,0.18
10684,0.16
10685,0.18
10686,0.16
10687,0.18
10688,0.16
10689,0.18
10690,0.18
10691,0.18
10692,0.18
10693,0.16
10694,0.18
10695,0.18
10696,0.18
10697,0.16
10698,0.18
10699,0.18
10700,0.18
10701,0.18
10702,0.18
10703,0.18
10704,0.18
10705,0.18
10706,0.18
10707,0.18
10708,0.18
10709,0.18
10710,0.16
10711,0.18
10712,0.18
10713,0.18
10714,0.16
10715,0.18
10716,0.18
10717,0.18
10718,0.18
10719,0.18
10720,0.18
10721,0.18
10722,0.16
10723,0.16
10724,0.18
10725,0.18
10726,0.16
10727,0.16
10728,0.16
10729,0.18
10730,0.18
10731,0.18
10732,0.18
10733,0.18
10734,0.18
10735,0.18
10736,0.18
10737,0.18
10738,0.18
10739,0.18
10740,0.16
10741,0.16
10742,0.18
10743,0.16
10744,0.18
10745,0.16
10746,0.18
10747,0.18
10748,0.18
10749,0.18
10750,0.16
10751,0.18
10752,0.18
10753,0.18
10754,0.18
10755,0.16
10756,0.18
10757,0.16
10758,0.18
10759,0.16
10760,0.18
10761,0.18
10762,0.18
10763,0.18
10764,0.16
10765,0.16
10766,0.18
10767,0.18
10768,0.18
10769,0.16
10770,0.18
10771,0.16
10772,0.18
10773,0.18
10774,0.18
10775,0.16
10776,0.18
10777,0.18
10778,0.18
10779,0.18
10780,0.18
10781,0.18
10782,0.18
10783,0.18
10784,0.18
10785,0.18
10786,0.18
10787,0.16
10788,0.18
10789,0.18
10790,0.18
10791,0.18
10792,0.18
10793,0.18
10794,0.18
10795,0.18
10796,0.16
10797,0.18
10798,0.18
10799,0.18
10800,0.16
10801,0.16
10802,0.16
10803,0.16
10804,0.16
10805,0.18
10806,0.18
10807,0.18
10808,0.18
10809,0.18
10810,0.18
10811,0.16
10812,0.18
10813,0.18
10814,0.18
10815,0.16
10816,0.18
10817,0.18
10818,0.18
10819,0.18
10820,0.18
10821,0.18
10822,0.16
10823,0.18
10824,0.16
10825,0.16
10826,0.16
10827,0.18
10828,0.18
10829,0.18
10830,0.16
10831,0.16
10832,0.18
10833,0.16
10834,0.18
10835,0.18
10836,0.18
10837,0.18
10838,0.18
10839,0.18
10840,0.16
10841,0.18
10842,0.18
10843,0.18
10844,0.18
10845,0.18
10846,0.16
10847,0.18
10848,0.16
10849,0.18
10850,0.18
10851,0.16
10852,0.18
10853,0.16
10854,0.18
10855,0.18
10856,0.16
10857,0.18
10858,0.18
10859,0.16
10860,0.18
10861,0.18
10862,0.18
10863,0.16
10864,0.16
10865,0.18
10866,0.18
10867,0.16
10868,0.18
10869,0.18
10870,0.16
10871,0.16
10872,0.18
10873,0.18
10874,0.18
10875,0.18
10876,0.18
10877,0.18
10878,0.18
10879,0.18
10880,0.18
10881,0.18
10882,0.18
10883,0.18
10884,0.16
10885,0.18
10886,0.16
10887,0.18
10888,0.16
10889,0.16
10890,0.18
10891,0.18
10892,0.16
10893,0.18
10894,0.18
10895,0.16
10896,0.18
10897,0.18
10898,0.18
10899,0.16
10900,0.18
10901,0.18
10902,0.18
10903,0.16
10904,0.18
10905,0.18
10906,0.16
10907,0.18
10908,0.16
10909,0.18
10910,0.18
10911,0.18
10912,0.18
10913,0.18
10914,0.16
10915,0.16
10916,0.18
10917,0.18
10918,0.18
10919,0.16
10920,0.16
10921,0.16
10922,0.18
10923,0.18
10924,0.18
10925,0.18
10926,0.18
10927,0.18
10928,0.18
10929,0.18
10930,0.18
10931,0.18
10932,0.18
10933,0.18
10934,0.16
10935,0.18
10936,0.16
10937,0.18
10938,0.18
10939,0.18
10940,0.18
10941,0.18
10942,0.18
10943,0.18
10944,0.18
10945,0.18
10946,0.18
10947,0.16
10948,0.18
10949,0.18
10950,0.18
10951,0.16
10952,0.18
10953,0.18
10954,0.16
10955,0.18
10956,0.18
10957,0.16
10958,0.18
10959,0.18
10960,0.18
10961,0.18
10962,0.18
10963,0.16
10964,0.18
10965,0.18
10966,0.18
10967,0.18
10968,0.18
10969,0.18
10970,0.18
10971,0.18
10972,0.18
10973,0.16
10974,0.18
10975,0.18
10976,0.18
10977,0.18
10978,0.18
10979,0.18
10980,0.18
10981,0.18
10982,0.18
10983,0.18
10984,0.16
10985,0.18
10986,0.18
10987,0.16
10988,0.18
10989,0.18
10990,0.18
10991,0.18
10992,0.16
10993,0.18
10994,0.18
10995,0.18
10996,0.18
10997,0.16
10998,0.16
10999,0.18
11000,0.18
11001,0.18
11002,0.18
11003,0.18
11004,0.18
11005,0.18
11006,0.18
11007,0.16
11008,0.16
11009,0.18
11010,0.18
11011,0.16
11012,0.18
11013,0.16
11014,0.18
11015,0.18
11016,0.18
11017,0.18
11018,0.16
11019,0.18
11020,0.16
11021,0.16
11022,0.18
11023,0.18
11024,0.18
11025,0.18
11026,0.18
11027,0.18
11028,0.18
11029,0.18
11030,0.18
11031,0.16
11032,0.18
11033,0.18
11034,0.18
11035,0.18
11036,0.18
11037,0.18
11038,0.18
11039,0.16
11040,0.18
11041,0.18
11042,0.18
11043,0.18
11044,0.18
11045,0.18
11046,0.18
11047,0.18
11048,0.16
11049,0.18
11050,0.18
11051,0.18
11052,0.16
11053,0.18
11054,0.18
11055,0.18
11056,0.18
11057,0.18
11058,0.18
